1,IND,RB,Jonathan,Taylor,0.61,1,1,0,1,0,180.65,312.91,132.26,89,,90
2,CAR,RB,Christian,Mccaffrey,0.84,2,2,0,2,0,161.12,293.38,132.26,88,,90
3,LAC,RB,Austin,Ekeler,0.85,3,3,0,3,0,155.09,287.35,132.26,87,,90
4,MIN,WR,Justin,Jefferson,0.61,1,4,0,6,2,110.12,260.28,150.16,93,,97
5,MIN,RB,Dalvin,Cook,0.94,4,5,0,7,2,110.58,242.84,132.26,85,,90
6,LAR,WR,Cooper,Kupp,0.75,2,6,0,4,-2,147.5,297.66,150.16,91,,97
7,TEN,RB,Derrick,Henry,0.89,5,7,0,5,-2,146.46,278.72,132.26,83,,90
8,CIN,WR,Jamarr,Chase,0.34,3,8,0,9,1,105.43,255.59,150.16,89,,97
9,PIT,RB,Najee,Harris,0.53,6,9,0,8,-1,111.73,243.99,132.26,81,,90
10,CIN,RB,Joe,Mixon,0.88,7,10,0,10,0,117.1,249.36,132.26,80,,90
11,DET,RB,Dandre,Swift,0.88,8,11,0,14,3,87.71,219.97,132.26,79,,90
12,BUF,WR,Stefon,Diggs,0.39,4,12,0,12,0,79.18,229.34,150.16,85,,97
13,KC,TE,Travis,Kelce,0.42,1,13,0,13,0,97.93,222.48,124.55,92,,105
14,LV,WR,Davante,Adams,0.83,5,14,0,11,-3,89.46,239.62,150.16,83,,97
15,NO,RB,Alvin,Kamara,0.74,9,15,0,17,2,117.28,249.54,132.26,75,,90
16,NYG,RB,Saquon,Barkley,0.82,10,16,0,19,3,91.36,223.62,132.26,74,,90
17,DAL,WR,Ceedee,Lamb,0.24,6,17,0,18,1,68.48,218.64,150.16,80,,97
18,GB,RB,Aaron,Jones,0.87,11,18,0,16,-2,94.86,227.12,132.26,72,,90
19,TB,RB,Leonard,Fournette,0.87,12,19,0,25,6,100.69,232.95,132.26,71,,90
20,CLE,RB,Nick,Chubb,0.6,13,20,0,15,-5,77.21,209.47,132.26,70,,90
21,SF,WR,Deebo,Samuel,0.74,7,21,0,20,-1,91.49,241.65,150.16,76,,97
22,BAL,TE,Mark,Andrews,0.35,2,22,0,24,2,94.36,218.91,124.55,83,,105
23,DEN,RB,Javonte,Williams,0.41,14,23,0,21,-2,87.39,219.65,132.26,67,,90
24,TB,WR,Mike,Evans,0.46,8,24,0,26,2,63.89,214.05,150.16,73,,97
25,MIA,WR,Tyreek,Hill,0.75,9,25,0,23,-2,65.84,216,150.16,72,,97
26,PHI,WR,Aj,Brown,0.5,10,26,0,27,1,50.46,200.62,150.16,71,,97
27,ARI,RB,James,Conner,0.83,15,27,0,31,4,90.75,223.01,132.26,63,,90
28,CIN,WR,Tee,Higgins,0.91,11,28,0,30,2,57.89,208.05,150.16,69,,97
29,LAC,WR,Keenan,Allen,0.79,12,29,0,29,0,49.28,199.44,150.16,68,,97
30,IND,WR,Michael,Pittman,0.91,13,30,0,34,4,49.37,199.53,150.16,67,,97
31,DAL,RB,Ezekiel,Elliott,0.82,16,31,0,28,-3,65.38,197.64,132.26,59,,90
32,BUF,QB,Josh,Allen,0.26,1,32,0,22,-10,94.756,401.378,306.622,69,,101
33,CAR,WR,Dj,Moore,0.59,14,33,0,39,6,44.78,194.94,150.16,64,,97
34,ATL,TE,Kyle,Pitts,0.73,3,34,0,32,-2,38.99,163.54,124.55,71,,105
35,NYJ,RB,Breece,Hall,0,17,35,0,37,2,60.05,192.31,132.26,55,,90
36,JAC,RB,Travis,Etienne,0.77,18,36,0,44,8,54.43,186.69,132.26,54,,90
37,LAC,WR,Mike,Williams,0.93,15,37,0,46,9,43.57,193.73,150.16,60,,97
38,DEN,WR,Courtland,Sutton,0.47,16,38,0,51,13,25.52,175.68,150.16,59,,97
39,LAR,RB,Cam,Akers,0.57,19,39,0,38,-1,58.46,190.72,132.26,51,,90
40,PIT,WR,Diontae,Johnson,0.84,17,40,0,42,2,40.17,190.33,150.16,57,,97
41,CHI,RB,David,Montgomery,0.76,20,41,0,35,-6,73.52,205.78,132.26,49,,90
42,MIA,WR,Jaylen,Waddle,0.43,18,42,0,40,-2,33.61,183.77,150.16,55,,97
43,WAS,WR,Terry,Mclaurin,0.78,19,43,0,41,-2,31.27,181.43,150.16,54,,97
