1,IND,RB,Jonathan,Taylor,0.61,1,1,33.27,1,0,176.72,319.65,142.93,99,100,14,209.99,143.45
2,CAR,RB,Christian,Mccaffrey,0.84,2,2,33.43,2,0,150.7,293.63,142.93,98,100,13,184.13,117.27
3,LAC,RB,Austin,Ekeler,0.85,3,3,32.56,3.5,0.5,140.52,283.44,142.93,97,100,8,173.08,107.95
4,TEN,RB,Derrick,Henry,0.89,4,4,38.53,4.5,0.5,137.24,280.17,142.93,96,100,6,175.77,98.7
5,LAR,WR,Cooper,Kupp,0.75,1,5,36.76,5.5,0.5,145.89,298.3,152.4,93,98,7,182.66,109.13
6,MIN,RB,Dalvin,Cook,0.94,5,6,23.4,6,0,102.05,244.97,142.93,94,100,7,125.44,78.65
7,MIN,WR,Justin,Jefferson,0.61,2,7,16.87,6.5,-0.5,106.36,258.76,152.4,91,98,7,123.23,89.48
8,PIT,RB,Najee,Harris,0.53,6,8,24.39,7.5,-0.5,102.8,245.72,142.93,92,100,9,127.18,78.41
9,CIN,WR,Jamarr,Chase,0.34,3,9,25.75,9,0,102.29,254.69,152.4,89,98,10,128.04,76.53
10,CIN,RB,Joe,Mixon,0.88,7,10,11.9,10,0,105.4,248.33,142.93,90,100,10,117.3,93.5
11,LV,WR,Davante,Adams,0.83,4,11,31.12,11.5,0.5,88.96,241.36,152.4,87,98,6,120.08,57.84
12,BUF,WR,Stefon,Diggs,0.39,5,12,22.87,12.5,0.5,77.17,229.57,152.4,86,98,7,100.04,54.29
13,DET,RB,Dandre,Swift,0.88,8,13,31.94,14,1,83.05,225.98,142.93,87,100,6,114.99,51.11
14,KC,TE,Travis,Kelce,0.42,1,14,32.9,14.5,0.5,98.54,223.49,124.95,80,94,8,131.44,65.64
15,GB,RB,Aaron,Jones,0.87,9,15,27.44,15.5,0.5,91.17,234.1,142.93,85,100,14,118.62,63.73
16,NO,RB,Alvin,Kamara,0.74,10,16,20.69,16,0,106.52,249.45,142.93,84,100,14,127.21,85.83
17,DAL,WR,Ceedee,Lamb,0.24,6,17,31.58,16.5,-0.5,67.26,219.66,152.4,81,98,9,98.84,35.68
18,CLE,RB,Nick,Chubb,0.6,11,18,21.95,17,-1,65.97,208.9,142.93,82,100,9,87.92,44.03
19,NYG,RB,Saquon,Barkley,0.82,12,19,21.45,17,-2,82.66,225.59,142.93,81,100,9,104.12,61.21
20,BUF,QB,Josh,Allen,0.26,1,20,12.34,21.5,1.5,93.01,433.45,340.44,79,99,7,105.35,80.67
21,MIA,WR,Tyreek,Hill,0.75,7,21,13.17,22,1,66.73,219.13,152.4,77,98,11,79.9,53.56
22,TB,RB,Leonard,Fournette,0.87,13,22,15.1,22.5,0.5,89.56,232.49,142.93,78,100,11,104.66,74.46
23,DEN,RB,Javonte,Williams,0.41,14,23,9.78,23,0,77.92,220.85,142.93,77,100,9,87.7,68.15
24,SF,WR,Deebo,Samuel,0.74,8,24,23.51,23,-1,87.93,240.33,152.4,74,98,9,111.44,64.42
25,TB,WR,Mike,Evans,0.46,9,25,20.32,24,-1,62.21,214.61,152.4,73,98,11,82.52,41.89
26,BAL,TE,Mark,Andrews,0.35,2,26,22.86,25,-1,95.39,220.34,124.95,68,94,10,118.24,72.53
27,DAL,RB,Ezekiel,Elliott,0.82,15,27,11.35,27.5,0.5,56.24,199.17,142.93,73,100,9,67.59,44.88
28,ARI,RB,James,Conner,0.83,16,28,6.28,29,1,79.36,222.29,142.93,72,100,13,85.64,73.08
29,PHI,WR,Aj,Brown,0.5,10,29,22.61,29.5,0.5,50.08,202.49,152.4,69,98,7,72.7,27.47
30,LAC,WR,Keenan,Allen,0.79,11,30,11.17,30,0,47.59,199.99,152.4,68,98,8,58.76,36.41
31,IND,WR,Michael,Pittman,0.91,12,31,15.11,30.5,-0.5,49.53,201.93,152.4,67,98,14,64.64,34.42
32,CIN,WR,Tee,Higgins,0.91,13,32,16.19,32.5,0.5,55.18,207.59,152.4,66,98,10,71.38,38.99
33,ATL,TE,Kyle,Pitts,0.73,3,33,17.79,32.5,-0.5,38.66,163.62,124.95,61,94,14,56.46,20.87
34,KC,QB,Patrick,Mahomes,0.16,2,34,15.74,32.5,-1.5,71.44,411.88,340.44,65,99,8,87.19,55.7
35,LAC,QB,Justin,Herbert,0.15,3,35,13.19,35,0,50.09,390.53,340.44,64,99,8,63.28,36.9
36,CAR,WR,Dj,Moore,0.59,14,36,20.27,39,3,41.9,194.3,152.4,62,98,13,62.17,21.63
37,SF,TE,George,Kittle,0.92,4,37,10.54,39.5,2.5,29.81,154.76,124.95,57,94,9,40.36,19.27
38,LAR,RB,Cam,Akers,0.57,17,38,8.59,40,2,47.75,190.68,142.93,62,100,7,56.34,39.16
39,NYJ,RB,Breece,Hall,0,18,39,48.12,40,1,25.85,168.78,142.93,61,100,10,73.97,-22.27
40,CHI,RB,David,Montgomery,0.76,19,40,9.86,40.5,0.5,63.62,206.55,142.93,60,100,14,73.48,53.76
41,LAC,WR,Mike,Williams,0.93,15,41,12.52,40.5,-0.5,42,194.4,152.4,57,98,8,54.52,29.49
